text,topic,topic_label
"The Supachai's caecilian, Ichthyophis supachaii, is a species of caecilian in the family Ichthyophiidae found in Thailand's provinces of Nakhon Si Thammarat and Trang, and possibly Malaysia.It is known mostly from 11 specimens of various ages collected in 1958 by Edward Harrison Taylor at several localities in a wide area of tropical forest in southern Thailand. Later, it was recorded among the moist banks of a river near an abandoned zinc mine. It is likely to be threatened by habitat loss.",nature,7
"Terebra stohleri is a species of sea snail, a marine gastropod mollusk in the family Terebridae, the auger snails.",nature,7
"Leptolejeunea is a genus of liverwort in family Lejeuneaceae. It contains the following species (but this list may be incomplete): \n*  Leptolejeunea tridentata, Bischl. \n*  Leptolejeunea elliptica, (Lehm. & Lindenb.) Schiffn.",nature,7
"Botia rostrata, the ladder loach or twin-banded loach, is a freshwater fish belonging to the loach family Botiidae. It originates in calmer water pool areas of highland streams in the lower Ganges and Brahmaputra basins in Bangladesh and north India. Records from elsewhere are believed to be misidentification of relatives (e.g., B. histrionica). It is not as common in the aquarium trade as the clown loach or yoyo loach.",nature,7
"Marginodostomia striatissima is a species of sea snail, a marine gastropod mollusk in the family Pyramidellidae, the pyrams and their allies.",nature,7
"The Matinan blue flycatcher (Cyornis sanfordi), also known as the Matinan flycatcher, is a species of bird in the family Muscicapidae. It is endemic to the island of Sulawesi in Indonesia. Its natural habitat is subtropical or tropical moist montane forests. It is threatened by habitat loss.",nature,7
"Little Bowman Pond is a small glacial lake in the Taborton section of the Town of Sand Lake, Rensselaer County, New York, United States. The lake is located on a geologic formation known as the Rensselaer Plateau.",nature,7
Melpomene brevipes is a species of fern in the Polypodiaceae family. It is endemic to Ecuador. Its natural habitat is subtropical or tropical moist montane forests. It is threatened by habitat loss.,nature,7
Xenotilapia burtoni is a species of cichlid endemic to Lake Tanganyika where it is only known from areas with sandy substrates in Burton Bay. This species can reach a length of 17.7 centimetres (7.0 in) TL. It can also be found in the aquarium trade.,nature,7
"The Machacha Brown (Pseudonympha machacha) is a butterfly of the Nymphalidae family. It is found in South Africa, mainly in Lesotho, but also in the eastern Cape and KwaZulu-Natal. The wingspan is 34–35 mm for males and 32–34 mm for females. Adults are on wing from December to February. There is one generation per year. The larvae probably feed on Poaceae grasses.",nature,7
